type;subtype;EOVX;EOVY;LAT;LON;capacity;id;id0;minage;maxage;risk
4;kollégium;734757;102223;46,259185;20,146746;10;184922;734757102223;18;65;1
4;kollégium;734159;101858;46,255977;20,138925;10;184923;734159101858;18;65;1
4;kollégium;734839;100730;46,245745;20,147537;10;184925;734839100730;18;65;1
4;kollégium;734751;100589;46,244488;20,146371;10;184926;734751100589;18;65;1
4;kollégium;734707;100506;46,243747;20,145785;10;184927;734707100506;18;65;1
4;kollégium;733012;100254;46,241692;20,123765;10;184928;733012100254;18;65;1
4;kollégium;734155;100325;46,242188;20,138596;10;184929;734155100325;18;65;1
4;kollégium;736234;100959;46,247627;20,165665;10;184930;736234100959;18;65;1
4;kollégium;734800;100873;46,247036;20,147058;10;184931;734800100873;18;65;1
4;menhely, szeretetház;734429;100058;46,239752;20,1421;20;114697;734429100058;18;65;1
4;menhely, szeretetház;736322;104307;46,27777242;20,16749683;20;216979;736322104307;18;65;1
4;menhely, szeretetház;731130;101610;46,254119;20,099604;20;216980;731130101610;18;65;1
4;menhely, szeretetház;735259;99956;46,23877134;20,15290941;20;222042;73525999956;18;65;1
4;menhely, szeretetház;731130;101610;46,2540967;20,09960971;20;222043;731130101610;18;65;1
4;menhely, szeretetház;735775;100658;46,24495535;20,15966515;20;222044;735775100658;18;65;1
4;menhely, szeretetház;734129;101360;46,25147836;20,13845219;20;222045;734129101360;18;65;1
4;motel;732653;102786;46,264512;20,119561;5;56867;732653102786;18;65;1
4;motel;729029;98842;46,229472;20,07189;5;114547;72902998842;18;65;1
4;motel;736189;100612;46,244511;20,165018;5;165255;736189100612;18;65;1
4;munkásszálló;734508;100198;46,241001;20,143149;10;114596;734508100198;18;65;1
4;munkásszálló;734838;100315;46,242012;20,147448;10;184286;734838100315;18;65;1
